identifier	precision	rs_classification	probas
EFO:0000551	low	03-disease-area	[4.8868813086394e-06, 0.003221840336074852, 0.9967732727826164]
EFO:0000552	high	01-disease-subtype	[0.9999433186654857, 5.6584691555066046e-05, 9.664295936290833e-08]
EFO:0000553	high	01-disease-subtype	[0.9983337965561121, 0.001657154761025571, 9.048682862421541e-06]
EFO:0000555	medium	02-disease-root	[0.00017955077259193365, 0.9998030088704378, 1.744035697012709e-05]
EFO:0000557	high	01-disease-subtype	[0.9999607598125151, 3.923978173241027e-05, 4.0575236420290163e-10]
EFO:0000558	high	01-disease-subtype	[0.9996243915348423, 0.00037302693907093027, 2.5815260867257964e-06]
EFO:0000559	high	01-disease-subtype	[0.9994464373800956, 0.0005505643749696312, 2.998244934676089e-06]
EFO:0000563	medium	02-disease-root	[0.0004666205222514646, 0.9986792956433049, 0.0008540838344437388]
EFO:0000564	high	01-disease-subtype	[0.9997020625954977, 0.00029122530534790174, 6.712099154616087e-06]
EFO:0000565	low	03-disease-area	[1.031380606324779e-07, 0.0008302191971586994, 0.9991696776647807]
EFO:0000569	high	01-disease-subtype	[0.9982838362290015, 0.0012936990247739747, 0.0004224647462246318]
EFO:0000571	high	01-disease-subtype	[0.9997601235375454, 0.00023790187504701748, 1.974587407598869e-06]
EFO:0000574	low	03-disease-area	[8.260500220625911e-07, 0.00030095811619892227, 0.9996982158337789]
EFO:0000580	high	01-disease-subtype	[0.9995172762313222, 0.00048268824014676125, 3.552853091786198e-08]
EFO:0000584	low	03-disease-area	[1.8766295264285098e-05, 0.0003078190722975676, 0.9996734146324381]
EFO:0000588	medium	02-disease-root	[0.0002647457645886966, 0.9993339389419308, 0.00040131529348048673]
EFO:0000589	low	03-disease-area	[1.1087252733454186e-07, 0.0001999743476533545, 0.9997999147798193]
EFO:0000595	high	01-disease-subtype	[0.9999456941066559, 5.4273046418026954e-05, 3.284692606696246e-08]
EFO:0000612	medium	02-disease-root	[0.0010949562054793558, 0.9977307443076116, 0.0011742994869091666]
EFO:0000613	high	01-disease-subtype	[0.9999157483998743, 8.414762582927895e-05, 1.0397429658790527e-07]
EFO:0000616	low	03-disease-area	[3.5596182960377354e-09, 0.00038814563455386817, 0.9996118508058279]
EFO:0000618	low	03-disease-area	[8.262073370592949e-11, 4.950690029551266e-07, 0.9999995048483763]
EFO:0000621	medium	02-disease-root	[0.0003367698059860039, 0.9996461077399413, 1.7122454072613212e-05]
EFO:0000622	medium	02-disease-root	[2.0075698095705598e-05, 0.9997835025065156, 0.00019642179538870294]
EFO:0000625	low	03-disease-area	[4.116060343439837e-05, 6.199205807655283e-05, 0.9998968473384892]
EFO:0000630	high	01-disease-subtype	[0.9996450175955847, 0.0003549352177874589, 4.7186627951841536e-08]
EFO:0000632	high	01-disease-subtype	[0.9989923470996465, 0.0010072519366073707, 4.0096374622324707e-07]
EFO:0000637	medium	02-disease-root	[0.0003331685990816967, 0.9989614788879699, 0.000705352512948354]
EFO:0000639	high	01-disease-subtype	[0.9990065205976836, 0.0009921310890524588, 1.348313264059436e-06]
EFO:0000640	high	01-disease-subtype	[0.9998548500326152, 0.00014514648917570545, 3.4782090030888035e-09]
EFO:0000641	high	01-disease-subtype	[0.9996906181221362, 0.00030920107064191083, 1.8080722179298022e-07]
EFO:0000649	high	01-disease-subtype	[0.9978706954812474, 0.0018527224371953945, 0.0002765820815572292]
EFO:0000650	high	01-disease-subtype	[0.9983405379472909, 0.0016583427814268806, 1.1192712820392907e-06]
EFO:0000653	medium	02-disease-root	[0.0006417193835630685, 0.9988181068486881, 0.0005401737677490038]
EFO:0000658	high	01-disease-subtype	[0.9991178921325186, 0.0008820765807256785, 3.128675585842923e-08]
EFO:0000660	medium	02-disease-root	[0.001663211866880668, 0.9983366257488627, 1.6238425660503136e-07]
EFO:0000662	low	03-disease-area	[6.148874644994465e-09, 4.234894745676313e-05, 0.9999576449036686]
EFO:0000666	medium	02-disease-root	[0.0015568724927497498, 0.9984427494318832, 3.780753671846418e-07]
EFO:0000668	medium	02-disease-root	[3.781720688595568e-05, 0.9999621377042704, 4.508884372570229e-08]
EFO:0000673	high	01-disease-subtype	[0.9996805793433955, 0.00031940138270407706, 1.9273900398979384e-08]
EFO:0000676	medium	02-disease-root	[6.114222950626349e-06, 0.9999936911205636, 1.9465648567800988e-07]
EFO:0000677	low	03-disease-area	[1.2549875379756577e-06, 1.8328934878910974e-05, 0.999980416077583]
EFO:0000678	high	01-disease-subtype	[0.9993804747659883, 0.0006184457766701863, 1.0794573414647337e-06]
EFO:0000681	high	01-disease-subtype	[0.9988971652684119, 0.0010312219032415078, 7.16128283465509e-05]
EFO:0000684	low	03-disease-area	[7.68232976383593e-09, 5.6839916845685834e-05, 0.9999431524008244]
EFO:0000685	medium	02-disease-root	[0.0008226306836952425, 0.9990809020894491, 9.646722685579784e-05]
EFO:0000691	low	03-disease-area	[4.3633742983735183e-07, 0.0008462549017838781, 0.9991533087607863]
EFO:0000693	high	01-disease-subtype	[0.9987062694929327, 0.0012926083739975666, 1.1221330697467072e-06]
EFO:0000694	medium	02-disease-root	[0.0011095839159587628, 0.9988899698536953, 4.462303460087044e-07]
EFO:0000698	medium	02-disease-root	[0.0005317919869688784, 0.9991477317182124, 0.00032047629481876173]
EFO:0000699	medium	02-disease-root	[0.001732673385164942, 0.9982665116354891, 8.149793458787149e-07]
EFO:0000701	low	03-disease-area	[1.4036317732408528e-09, 1.0879506185071216e-05, 0.9999891190901833]
EFO:0000702	medium	02-disease-root	[0.001431519946336007, 0.9985683334011126, 1.4665255143467205e-07]
EFO:0000705	medium	02-disease-root	[2.5830299924939575e-06, 0.9965935569165312, 0.003403860053476358]
EFO:0000706	medium	02-disease-root	[0.0015126420134653348, 0.9984596774088539, 2.7680577680845365e-05]
EFO:0000707	medium	02-disease-root	[6.844865784162882e-07, 0.9972278736532628, 0.0027714418601586794]
EFO:0000708	high	01-disease-subtype	[0.9997322307223854, 0.00026224661706943255, 5.52266054515393e-06]
EFO:0000712	medium	02-disease-root	[0.0007844363325839052, 0.9981624182130439, 0.0010531454543722468]
EFO:0000713	medium	02-disease-root	[0.0009124760776206869, 0.9990871765475613, 3.4737481809638576e-07]
EFO:0000717	medium	02-disease-root	[0.0010383898012185683, 0.9985908901571008, 0.0003707200416806389]
EFO:0000729	medium	02-disease-root	[0.0015163353861010773, 0.9984835116084313, 1.5300546759322046e-07]
EFO:0000730	high	01-disease-subtype	[0.9999517597158822, 4.823423839886291e-05, 6.045718883558528e-09]
EFO:0000731	high	01-disease-subtype	[0.999981541101508, 1.7018838276162232e-05, 1.4400602157479248e-06]
EFO:0000734	high	01-disease-subtype	[0.9997142032973089, 0.0002848369664281683, 9.59736262883448e-07]
EFO:0000736	high	01-disease-subtype	[0.9999244244965041, 7.556705309712964e-05, 8.450398737280952e-09]
EFO:0000737	medium	02-disease-root	[0.0013374837587708118, 0.9985990006772565, 6.351556397286205e-05]
EFO:0000756	medium	02-disease-root	[4.031053153800328e-06, 0.9986139332552902, 0.001382035691555846]
EFO:0000759	medium	02-disease-root	[0.00034984743123961094, 0.9996417174992754, 8.435069484996703e-06]
EFO:0000760	medium	02-disease-root	[0.0002245448598841115, 0.9997733518078294, 2.103332286371298e-06]
EFO:0000762	medium	02-disease-root	[0.000830337028219891, 0.9991693556016398, 3.073701403645922e-07]
EFO:0000763	low	03-disease-area	[2.7718298676832926e-08, 1.90821454083526e-05, 0.999980890136293]
EFO:0000764	medium	02-disease-root	[0.0002400333410725364, 0.9992515440545984, 0.0005084226043291634]
EFO:0000765	high	01-disease-subtype	[0.9996720627178738, 0.0003271802263546174, 7.570557715391442e-07]
EFO:0000767	high	01-disease-subtype	[0.9980757815988276, 0.0018428106792527268, 8.140772191953846e-05]
EFO:0000768	high	01-disease-subtype	[0.9989904314572894, 0.0010095616881129897, 6.854597424195562e-09]
EFO:0000769	high	01-disease-subtype	[0.9982296344733756, 0.0016877383163869347, 8.262721023750104e-05]
EFO:0000770	high	01-disease-subtype	[0.9997119797581405, 0.00027841434743593375, 9.605894423662183e-06]
EFO:0000771	low	03-disease-area	[2.5099575727451728e-08, 2.1469017387555643e-05, 0.9999785058830367]
EFO:0000772	medium	02-disease-root	[0.000283403441290503, 0.9995048869129997, 0.0002117096457097271]
EFO:0000773	medium	02-disease-root	[0.0003748846474234935, 0.9995945350398634, 3.0580312713185826e-05]
